method,roundIndex,roundTargetIntensityTrue,roundEvalCount,roundAccepted
mREV,1,13050.738532166,3968,1
mREV,2,13050.738532166,6144,0
mREV,3,13050.738532166,15872,0
mREV,4,13897.596066485,41344,1
mREV-GSS,1,10734.7338632521,838,1
mREV-GSS,2,10734.7338632521,939,0
mREV-GSS,3,10734.7338632521,1184,0
mREV-GSS,4,10734.7338632521,1497,0
PFPD,1,13242.3255428251,1280,1
PFPD,2,13242.3255428251,1280,0
PFPD,3,13242.3255428251,1280,0
PFPD,4,13242.3255428251,1280,0
5PPS,1,15041.6198255742,640,1
5PPS,2,15041.6198255742,640,0
5PPS,3,15041.6198255742,640,0
5PPS,4,15041.6198255742,640,0
SPGD,1,5451.64874217487,1250,1
SPGD,2,8482.21031904633,1250,1
SPGD,3,10093.9667150465,1250,1
SPGD,4,11035.331099777,1250,1
Hill-Climb,1,12931.3890178114,4096,1
Hill-Climb,2,12931.3890178114,2048,0
Hill-Climb,3,13147.3675223786,2048,1
Hill-Climb,4,13147.3675223786,2048,0
